# c Weighted CNF
# c from Selman's wff generator
# p wcnf 100  400
{-fb, fj} [4.0]
{hb, -di} [1.0]
{hd, de} [4.0]
{ba, b} [3.0]
{-cc, gc} [1.0]
{-ib, -hc} [8.0]
{-fg, -j} [8.0]
{cc, f} [1.0]
{fa, fg} [3.0]
{jd, -fe} [7.0]
{-ih, -ec} [8.0]
{-ec, -id} [3.0]
{-ef, ih} [6.0]
{-fj, hf} [5.0]
{ie, hi} [4.0]
{id, dc} [8.0]
{-ih, -he} [4.0]
{ch, fd} [4.0]
{jf, cf} [10.0]
{-i, -baa} [7.0]
{-hj, -hi} [7.0]
{fi, gh} [9.0]
{hf, eb} [6.0]
{-hf, fa} [5.0]
{-b, -hd} [8.0]
{bh, ii} [5.0]
{jh, if} [1.0]
{-ie, -b} [1.0]
{hi, fb} [10.0]
{-bi, -fa} [10.0]
{-jb, -ij} [9.0]
{di, jb} [4.0]
{-gd, -ii} [10.0]
{hf, -eb} [3.0]
{-cf, hb} [6.0]
{-hb, he} [1.0]
{-ce, if} [1.0]
{df, ff} [3.0]
{-ee, -db} [2.0]
{cb, -c} [3.0]
{-ij, -bc} [10.0]
{fc, -if} [9.0]
{-ff, ba} [6.0]
{-id, fe} [6.0]
